Customer_age,Order_value,Number_Items_Purchased,Discount_Applied,Order_Frequency,Product_popularity,Days_last_purchase,product_categories,payment_methods,shipping_methods
,1.8877048994458976,-1.61845793,-1.29868645,,0.6640177267110223,-0.237315663,Electronics,Credit Card,Express Shipping
-2.273043322,-0.998528043,-0.902071423,-0.11616459,1.052579591921003,1.9445112470850074,-1.004396016,Home Appliances,Credit Card,Express Shipping
0.6364617990306226,3.004052874413465,-3.067517481,0.2140896408056392,-1.480998596,0.9638130205007531,,Books,Cash on Delivery,Standard Shipping
,-3.585010107,-1.28157342,2.3979896411570243,,2.5954142476889004,2.9667073632044776,Home Appliances,PayPal,Express Shipping
-1.336275227,-0.173973187,-4.962879627,-0.319143508,,3.4644114489849693,0.6515729157045478,Electronics,Credit Card,Express Shipping
2.0727604367732795,-3.336512289,-0.771421164,0.6756360826217342,2.9308012482797565,-0.421540223,3.826304809763325,Home Appliances,Cash on Delivery,Express Shipping
-4.163577721,,0.3605301677315802,,-0.859876263,1.9993318825826385,-1.95015535,,PayPal,Standard Shipping
-3.867391939,,0.24517327858021093,3.403963995296534,-0.434203055,1.6625676482257745,-2.113637178,Home Appliances,Credit Card,Express Shipping
-0.248352976,-0.678709958,-0.075229856,-0.474089697,,0.515482251,1.8726367565230262,Clothing,Cash on Delivery,Standard Shipping
-0.39085936,2.0167242757832433,0.35966329941925973,-0.928415272,-1.445176166,-0.128150287,-1.88891809,Home Appliances,Credit Card,Standard Shipping
-1.443885565,-1.530928695,0.29724027105146894,-1.003116328,-1.456893822,1.2421669823108807,1.5257213654841508,Home Appliances,Cash on Delivery,Standard Shipping
0.023378947064312875,-0.026517816,-2.297971715,-1.566312738,0.8971800864883077,1.4966648469877124,1.1548117846369728,Electronics,Credit Card,Express Shipping
0.29151706470256394,0.3610541661648099,0.2813083232444985,-1.559871772,2.4373461803381913,-0.419612352,-3.362133097,Electronics,Cash on Delivery,Standard Shipping
-0.361971277,0.9918120036536009,-3.892412143,-0.229099494,1.2964981741412536,2.224087378222479,1.1392741697508724,Electronics,Credit Card,Standard Shipping
0.3848870690210022,-2.293929159,4.797128342326689,0.85745384,,-2.830682075,-2.785175947,Home Appliances,Credit Card,Express Shipping
-1.561405624,0.7838353100353659,-2.218489449,-1.191549077,-1.872256854,,1.6281356681608905,Clothing,Cash on Delivery,Express Shipping
